variant_id,stop_id
561170,638
561170,3124
561171,3123
561171,636
561172,638
561172,3124
561172,3431
561173,695
561173,3123
561173,636
561174,638
561174,3124
561175,695
561175,3123
561175,636
561176,48
561176,695
561176,3123
561176,636
561177,638
561177,3124
561178,3123
561178,636
577393,149
577394,148
577395,72
577396,73
577397,2716
577398,2715
577399,2251
577399,992
577400,1015
577401,149
577402,148
577402,2716
577403,73
577403,3467
577404,2838
577404,3476
577404,74
577405,2251
577405,895
577406,992
577406,1015
577407,149
577407,912
577408,148
577409,148
577410,148
577410,2716
577411,153
577411,148
577412,153
577412,148
577413,153
577413,148
577413,2716
577414,73
577415,73
577416,73
577416,2716
577419,2716
577420,1015
577421,2251
577425,1015
577425,2716
577426,148
577427,148
577428,148
577428,2716
577429,148
577430,2838
577430,3476
577430,74
577430,798
577431,2838
577431,3476
577431,74
577432,2838
577432,3476
577432,74
577432,2716
577434,74
577435,74
577436,74
577436,2716
577437,74
577438,73
577439,799
577439,73
577440,1015
577442,1015
577442,2716
577443,2716
577443,2477
577444,2040
577446,2040
577446,2716
611151,1249
611151,27
611152,26
611152,3133
611845,1249
611845,27
611846,26
611846,3133
613952,1501
613952,1580
613952,1397
613953,1398
613953,1581
613953,1502
613954,1501
613954,1580
613954,1397
613955,1398
613955,2820
613955,1581
613955,1502
613956,1680
613956,2034
613956,1417
613956,3521
613956,1397
613957,1398
613957,3522
613957,1418
613957,2031
613957,1868
613958,1680
613958,1614
613958,2817
613958,1497
613959,1497
613959,2818
613959,1459
613959,1868
613960,1582
613960,1614
613960,2817
613960,1531
613961,1542
613961,1579
613961,1583
613962,1528
613962,1748
613962,1655
613962,1547
613962,3524
613962,2820
613962,1541
613962,1579
613962,1585
613963,1584
613963,1578
613963,1544
613963,3523
613963,1548
613963,1747
613964,1582
613964,1614
613964,1543
613964,1397
613965,1398
613965,1541
613965,1615
613965,1583
613966,1582
613966,1578
613966,1544
613967,1532
613967,2818
613967,1583
613968,1548
613968,1420
613968,1581
613968,1502
613968,1572
613969,1573
613969,1501
613969,1580
613969,1419
613969,1547
613970,1542
613970,1419
613970,1654
613970,1749
613971,1748
613971,1655
613971,1420
613971,1543
613972,1746
613972,1420
613972,3521
613972,2820
613972,1497
613973,1497
613973,2818
613973,3523
613973,1419
613973,1471
613973,1749
613974,1751
613974,1868
613975,1680
613975,1750
613976,1746
613976,1420
613976,1581
613976,1502
613976,1572
613977,1573
613977,1501
613977,1580
613977,1616
613977,1419
613977,1471
613977,1749
613978,1497
613978,2818
613978,2031
613978,1495
613979,1897
613979,2032
613979,1651
613979,2817
613979,1497
613980,1897
613980,2034
613980,1417
613980,1581
613981,1580
613981,1418
613981,2031
613981,1897
613982,1629
613982,2034
613982,1417
613982,1496
613982,1604
613983,1603
613983,1497
613983,1441
613983,1418
613983,2033
613983,1628
613984,1407
613984,2818
613984,1617
